filename,title,year,manufacturer,rpi2,rpi3,bios,notes
arcadia,Waga Seishun no Arcadia,1980,Sigma Enterprises Inc.,ok,has issues,,inaccurate sound and video emulation pi3
archriv2,Arch Rivals ,1989,Bally Midway,ok,doesn't work,,
archrivl,Arch Rivals ,1989,Bally Midway,doesn't work,ok,,
area51,Area 51,1995,Atari Games,untested,has issues,,needs chd file. works but laggy and takes a long time to load.
area51mx,Area 51 ,1998,Atari Games,untested,has issues,,needs chd file. works but laggy and takes a long time to load.
area88,Area 88 ,1989,Capcom,untested,ok,,
argus,Argus,1986,NMK,ok,ok,,
arkangc,Arkanoid ,1986,bootleg,has issues,has issues,,B
arkanoid,Arkanoid ,1986,Taito Corporation Japan,ok,ok,,
arkarea,Ark Area,,UPL,ok,ok,,
arkatayt,Arkanoid ,1986,bootleg,ok,ok,,
arkatour,Tournament Arkanoid ,1987,Taito America Corporation,ok,ok,,
arkbl2,Arkanoid ,1986,bootleg,doesn't work,doesn't work,,game_not_working
arkbl3,Arkanoid ,1986,bootleg,doesn't work,has issues,,game_not_working
arkbloc2,Block ,1986,bootleg,ok,ok,,
arkblock,Block ,1986,bootleg,doesn't work,untested,,game_not_working
arknid2j,Arkanoid - Revenge of DOH ,1987,Taito Corporation,,ok,,0
arknid2u,Arkanoid - Revenge of DOH ,1987,Taito America Corporation,ok,has issues,,
arknoid2,Arkanoid - Revenge of DOH ,1987,Taito Corporation Japan,ok,ok,,
arknoidj,Arkanoid ,1986,Taito Corporation,ok,ok,,
arknoidu,Arkanoid ,1986,Taito America Corporation,ok,ok,,
arknoiuo,Arkanoid ,1986,Taito America Corporation,ok,ok,,
arkretrn,Arkanoid Returns ,1997,Taito Corporation,ok,has issues,,bad controls
arlingtn,Arlington Horse Racing ,1991,Strata,ok,ok,,
armedf,Armed Formation,1988,Nichibutsu,ok,ok,,
armora,Armor Attack,1980,Cinematronics,has issues,doesn't work,,missing sounds; can't start game pi3
armorap,Armor Attack ,1980,Cinematronics,has issues,doesn't work,,can't start game pi3
armorar,Armor Attack ,1980,Cinematronics,has issues,doesn't work,,missing sounds; can't start game pi3
armorca2,Armored Car ,1981,Stern,ok,ok,,
armorcar,Armored Car ,1981,Stern,ok,ok,,
armwar,Armored Warriors ,1994,Capcom,doesn't work,ok,,
armwara,Armored Warriors ,1994,Capcom,doesn't work,doesn't work,,
armwaru,Armored Warriors ,1994,Capcom,doesn't work,doesn't work,,
armwrest,Arm Wrestling,1985,Nintendo,ok,has issues,,
ashnojoe,Ashita no Joe ,1990,WAVE,ok,has issues,,
ashura,Ashura Blaster ,1990,Taito Corporation,ok,doesn't work,,
ashurau,Ashura Blaster ,1990,Taito America Corporation,ok,ok,,
aso,ASO - Armored Scrum Object,1985,SNK,ok,ok,,
assault,Assault,1988,Namco,ok,ok,,
assaultj,Assault ,1988,Namco,ok,ok,,
assaultp,Assault Plus ,1988,Namco,ok,has issues,,
astdelu1,Asteroids Deluxe ,1980,Atari,ok,ok,,
astdelux,Asteroids Deluxe ,1980,Atari,ok,ok,,
asterix,Asterix ,1992,Konami,,ok,,Be sure to change limited continues to no and sound to stereo in the service menu dipswitch settings
asterock,Asterock,1979,Sidam,ok,ok,,
asteroi1,Asteroids ,1979,Atari,ok,doesn't work,,
asteroib,Asteroids ,1979,bootleg,ok,ok,,
asteroid,Asteroids ,1979,Atari,ok,doesn't work,,
astinvad,Astro Invader,1980,Stern,ok,ok,,
astorm,Alien Storm,1990,Sega,doesn't work,doesn't work,,try astormbl instead (Works with Rpi3)
astorm2p,Alien Storm ,1990,Sega,doesn't work,doesn't work,,game_not_working
astormbl,Alien Storm ,1990,bootleg,doesn't work,doesn't work,,"Video did not load, works in lr-mame2010 (Rpi3 tested)"
astrass,Astra SuperStars,1998,Sunsoft,doesn't work,doesn't work,,game_not_working
astrob,Astro Blaster ,1981,Sega,ok,ok,,
astrob1,Astro Blaster ,1981,Sega,doesn't work,doesn't work,,game_not_working
astrob2,Astro Blaster ,1981,Sega,ok,ok,,
astrof,Astro Fighter ,1979,Data East,doesn't work,ok,,
astrof2,Astro Fighter ,1979,Data East,doesn't work,ok,,
astrof3,Astro Fighter ,1979,Data East,doesn't work,ok,,
astrofl,Astro Flash ,1986,Sega,ok,ok,,
astrxeaa,Asterix ,1992,Konami,ok,ok,,
astrxeac,Asterix ,1992,Konami,ok,ok,,
astyanax,The Astyanax,1989,Jaleco,ok,has issues,,sound cuts out otherwise playable
asuka,Asuka & Asuka ,1988,Taito Corporation,ok,ok,,
asurabld,Asura Blade - Sword of Dynasty ,1998,Fuuki,ok,has issues,,no sound
asylum,Asylum ,1991,Leland Corp.,untested,ok,,
atarifb,Atari Football ,1978,Atari,untested,ok,,
atarifb1,Atari Football ,1978,Atari,untested,ok,,
atarifb4,Atari Football ,1979,Atari,untested,ok,,
ataxx,Ataxx ,1990,Leland Corp.,untested,ok,,
ataxxa,Ataxx ,1990,Leland Corp.,untested,ok,,-man
ataxxj,Ataxx ,1990,Leland Corp.,untested,ok,,
atehate,Athena no Hatena ?,1993,Athena,untested,ok,,
atetckt2,Tetris ,1989,Atari Games,untested,untested,,
atetcktl,chi-Toitsu,1989,Atari Games,untested,has issues,,
atetris,Tetris ,1988,Atari Games,untested,ok,,
atetrisa,Tetris ,1988,Atari Games,ok,ok,,
atetrisb,Tetris ,1988,bootleg,untested,untested,,
athena,Athena,1986,SNK,untested,ok,,
atlantis,Battle of Atlantis ,1981,Comsoft,untested,ok,,
atlants2,Battle of Atlantis ,1981,Comsoft,untested,ok,,
atomboy,Atomic Boy,1985,Irem,untested,ok,,
atomicp,Atomic Point,1990,Philko,untested,has issues,,no sound
atompunk,New Atomic Punk - Global Quest ,1992,Irem America,untested,untested,,
aurail,Aurail ,1990,Sega,untested,ok,,
auraila,Aurail ,1990,Sega,untested,ok,,
av2mj1bb,AV2Mahjong No.1 Bay Bridge no Seijo ,1991,MIKI SYOUJI,doesn't work,ok,,game_not_working  : pie3 Keyboard is necessary to play
av2mj2rg,AV2Mahjong No.2 Rouge no Kaori ,1991,MIKI SYOUJI,doesn't work,ok,,ca
avalnche,Avalanche,1978,Atari,untested,ok,,
avenger2,Avengers ,1987,Capcom,untested,ok,,
avengers,Avengers ,1987,Capcom,untested,ok,,
avengrgs,Avengers In Galactic Storm ,1995,Data East Corporation,doesn't work,has issues,,runs but no input detection pi3
avsp,Alien vs. Predator ,1994,Capcom,untested,ok,,Works with encrypted rom only
avspa,Alien vs. Predator ,1994,Capcom,untested,doesn't work,,game_not_working
avspirit,Avenging Spirit,1991,Jaleco,untested,has issues,,runs slow
avspj,Alien vs. Predator ,1994,Capcom,untested,ok,,
avspu,Alien vs. Predator ,1994,Capcom,ok,doesn't work,,
aztarac,Aztarac,1983,Centuri,untested,has issues,,Freezes when inserting coins
azurian,Azurian Attack,1982,Rait Electronics Ltd,untested,ok,,
baddudes,Bad Dudes vs. Dragonninja ,1988,Data East USA,ok,ok,,
badlands,Bad Lands,1989,Atari Games,ok,ok,,
bagman,Bagman,1982,Valadon Automation,ok,ok,,
bagmanmc,Bagman ,1982,bootleg,untested,ok,,
bagmans,Bagman ,1982,Valadon Automation,untested,ok,,
bagmans2,Bagman ,1982,Valadon Automation,untested,ok,,
bagnard,Le Bagnard,1982,Valadon Automation,untested,untested,,
bakatono,Bakatonosama Mahjong Manyuki,1991,Monolith Corp.,untested,ok,neogeo,
bakubaku,Baku Baku Animal,1996,Sega,untested,has issues,,"needs stvbios, no sound, small 640x480 res window "
bakubrkr,Bakuretsu Breaker,1992,Kaneko,untested,ok,,
bakuhatu,Mahjong Bakuhatsu Junjouden ,1991,Nichibutsu,untested,ok,,
bakutotu,Bakutotsu Kijuutei,1988,Namco,untested,ok,,
balcube,Bal Cube,1996,Metro,untested,ok,,
ballbomb,Balloon Bomber,1980,Taito,untested,has issues,,no sound and inaccurate video emulation pi3
ballbros,Balloon Brothers,1992,East Technology,untested,ok,,gunbird
balonfgt,Vs. Balloon Fight,1984,Nintendo,untested,ok,,
baluba,Baluba-louk no Densetsu,1986,Able Corp,untested,has issues,,inaccurate colors
bananadr,Mahjong Banana Dream ,1989,Digital Soft,untested,ok,,
bandido,Bandido,1980,Exidy,untested,has issues,,
bang,Bang!,1998,Gaelco,untested,ok,,
bangball,Bang Bang Ball ,1996,Banpresto,untested,ok,,
bangbead,Bang Bead,2000,Visco,untested,ok,neogeo,
bangj,Gun Gabacho ,1998,Gaelco,untested,ok,,
bankp,Bank Panic,1984,Sanritsu Sega,ok,ok,,
baraduka,Baraduke ,1985,Namco,untested,ok,,
baraduke,Baraduke ,1985,Namco,untested,ok,,
barricad,Barricade,1976,RamTek,untested,has issues,,no sound pi3
barrier,Barrier,1979,Vectorbeam,untested,has issues,,no sound and can't get past hi-score entry pi3
basebal2,Baseball The Season II,1987,Cinematronics,untested,ok,,
batcir,Battle Circuit ,1997,Capcom,ok,ok,,
batcira,Battle Circuit ,1997,Capcom,untested,doesn't work,,
batcirj,Battle Circuit ,1997,Capcom,untested,ok,,
batman,Batman,1991,Atari Games,ok,ok,,
batman2,Batman Part 2,1981,bootleg,untested,ok,,
batmanfr,Batman Forever,1996,Acclaim,doesn't work,doesn't work,,game_not_working
batrider,Armed Police Batrider ,1998,Raizing,ok,ok,,
batridra,Armed Police Batrider ,1998,Raizing,untested,ok,,
batridrk,Armed Police Batrider ,1998,Raizing,untested,untested,,
batsugun,Batsugun,1993,Toaplan,has issues,has issues,,"no sound, video glitches/artifacts but still playable"
battlan2,Battle Lane! Vol. 5 ,1986,Technos,untested,ok,,
battlan3,Battle Lane! Vol. 5 ,1986,Technos,untested,ok,,
battlane,Battle Lane! Vol. 5 ,1986,Technos,untested,ok,,
battlcry,Battlecry,1991,Home Data,untested,ok,,
battleg,Battle Garegga - Type 2 ,1996,Raizing,ok,ok,,
battlega,Battle Garegga ,1996,Raizing,untested,ok,,
battlegb,Battle Garegga ,1996,Raizing,untested,ok,,
battlera,Battle Rangers ,1988,Data East Corporation,untested,ok,,
battles,Battles,1982,bootleg,untested,ok,,
battlex,Battle Cross,1982,Omori Electric,untested,ok,,"inaccurate video emulation, unplayable pi3"
battlntj,Battlantis ,1987,Konami,untested,ok,,
battlnts,Battlantis,1987,Konami,untested,ok,,
battroad,The Battle-Road,1984,Irem,untested,ok,,
batugnsp,Batsugun ,1993,Toaplan,untested,has issues,,glitchy graphics and no sound
batwings,Battle Wings ,1984,Data East Corporation,doesn't work,doesn't work,,game_not_working
bayrouta,Bay Route ,1989,Sunsoft,doesn't work,doesn't work,,game_not_working
bayroute,Bay Route ,1989,Sunsoft,untested,ok,,
bayrtbl1,Bay Route ,1989,bootleg,doesn't work,doesn't work,,game_not_working
bayrtbl2,Bay Route ,1989,bootleg,doesn't work,doesn't work,,game_not_working
bbakradu,Battle Bakraid - Unlimited version ,1999,Eighting,ok,ok,,
bbakraid,Battle Bakraid ,1999,Eighting,ok,ok,,
bballs,Bouncing Balls,1991,Comad,untested,ok,,
bbbxing,Best Bout Boxing,1994,Jaleco,untested,ok,,
bbmanw,Bomber Man World ,1991,Irem,ok,ok,,
bbmanwj,Bomber Man World ,1991,Irem,untested,ok,,
bbonk,Bigfoot Bonkers,1976,Meadows Games,untested,ok,,
bbprot,Untitled Fighter 'BB' ,,<unknown>,untested,untested,,
bbros,Buster Bros. ,1989,Capcom,untested,ok,,
bbusters,Beast Busters ,1989,SNK,untested,ok,,
bchopper,Battle Chopper,1987,Irem,ok,ok,,
bcrusher,Bone Crusher,1985,bootleg,untested,ok,,
bcruzm12,Battle Cruiser M-12,1983,Sigma Enterprises Inc.,untested,doesn't work,,
bcstry,BC Story,1997,SemiCom,doesn't work,doesn't work,,
beaminv,Beam Invader,,Tekunon Kougyou,untested,has issues,,no sound pi3
beastf,Beastie Feastie,1984,Epos Corporation,untested,ok,,4
beastrzb,Beastorizer ,1997,Eighting,doesn't work,doesn't work,,game_not_working
beastrzr,Beastorizer,1997,Eighting,doesn't work,doesn't work,,game_not_working
beathead,BeatHead ,1993,Atari Games,untested,ok,,
beezer,Beezer ,1982,Tong Electronic,untested,has issues,,everything is backwards
beezer1,Beezer ,1982,Tong Electronic,untested,has issues,,everything is backwards
benberob,Ben Bero Beh ,1984,Taito,untested,ok,,
berabohm,Beraboh Man ,1988,Namco,untested,ok,,
beraboho,Beraboh Man ,1988,Namco,untested,,,
berlwall,The Berlin Wall ,1991,Kaneko,untested,ok,,
berlwalt,The Berlin Wall ,1991,Kaneko,untested,ok,,
bermudaa,Bermuda Triangle ,1987,SNK,untested,ok,,
bermudao,Bermuda Triangle ,1987,SNK,untested,ok,,
bermudat,Bermuda Triangle ,1987,SNK,untested,has issues,,
berzerk,Berzerk ,1980,Stern,has issues,ok,,pi2. sound fine with ' berzerk' sample.
berzerk1,Berzerk ,1980,Stern,untested,ok,,
bigbang,Big Bang,1993,NMK,untested,ok,,
bigbucks,Big Bucks,1986,Dynasoft Inc.,untested,ok,,
bigevglf,Big Event Golf,1986,Taito America Corporation,untested,has issues,,
bigkarnk,Big Karnak,1991,Gaelco,untested,ok,,
bigprowr,The Big Pro Wrestling!,1983,Technos,untested,ok,,
bigrun,Big Run ,1989,Jaleco,untested,doesn't work,,stuck in volume prompt
bigstrik,Big Striker,1992,Jaleco,untested,ok,,
bigstrkb,Big Striker ,1992,bootleg,untested,ok,,
bigtwin,Big Twin,1995,Playmark,untested,ok,,
bijokkog,Bijokko Gakuen ,1988,Nichibutsu,untested,ok,,
bijokkoy,Bijokko Yume Monogatari ,1987,Nichibutsu,untested,ok,,Keyboard is necessary to play
billiard,The Billiards,1981,bootleg,untested,ok,,
bioatack,Bio Attack,1983,Taito Corporation,untested,ok,,
biofreak,BioFreaks ,1997,Midway Games,untested,has issues,,needs chd file. works but laggy and takes a long time to load.
biomtoy,Biomechanical Toy ,1995,Gaelco,ok,has issues,,pi3 lags
bionicc,Bionic Commando ,1987,Capcom,ok,ok,,
bionicc2,Bionic Commando ,1987,Capcom,untested,ok,,
bioship,Bio-ship Paladin,1990,UPL,untested,has issues,,no sound
birdtry,Birdie Try ,1988,Data East Corporation,untested,has issues,,"graphics issues, hard to play because mini map not working"
bishi,Bishi Bashi Championship Mini Game Senshuken,1996,Konami,untested,has issues,,
bjourney,Blue's Journey ,1990,Alpha Denshi Co.,untested,ok,neogeo,
bjtwin,Bombjack Twin,1993,NMK,ok,ok,,
bking,Birdie King,1982,Taito Corporation,untested,ok,,
bking2,Birdie King 2,1983,Taito Corporation,untested,ok,,
bking3,Birdie King 3,1984,Taito Corporation,untested,ok,,
bkrtmaq,Bakuretsu Quiz Ma-Q Dai Bouken ,1992,Namco,untested,ok,,
bktigerb,Black Tiger ,1987,bootleg,ok,ok,,Black Tiger non bootleg romset works using keyboard for key insert
bladestl,Blades of Steel ,1987,Konami,untested,ok,,
bladstle,Blades of Steel ,1987,Konami,untested,ok,,
blandia,Blandia,1992,Allumer,untested,ok,,
blandiap,Blandia ,1992,Allumer,untested,ok,,
blasted,Blasted,1988,Bally Midway,untested,doesn't work,,stuck in volume prompt
blaster,Blaster,1983,Williams,untested,doesn't work,,"sound is a bit choppy, sometimes doesn't load"
blastkit,Blaster ,1983,Williams,untested,doesn't work,,
blasto,Blasto,1978,Gremlin,untested,has issues,,inaccurate sound emulation pi3
blastoff,Blast Off ,1989,Namco,untested,ok,,
blazeon,Blaze On ,1992,Atlus,ok,ok,,
blazer,Blazer ,1987,Namco,untested,ok,,
blazstar,Blazing Star,1998,Yumekobo,untested,ok,neogeo,
blckgalb,Block Gal ,1987,bootleg,untested,ok,,
blckout2,Block Out ,1989,Technos + California Dreams,untested,ok,,
blckoutj,Block Out ,1989,Technos + California Dreams,untested,ok,,
bldwolf,Bloody Wolf ,1988,Data East USA,untested,has issues,,
blitz,NFL Blitz,1997,Midway Games,untested,has issues,,needs chd file. works but laggy and takes a long time to load.
blitz2k,NFL Blitz 2000,1999,Midway Games,untested,has issues,,needs chd file. works but laggy and takes a long time to load.
blitz99,NFL Blitz '99,1998,Midway Games,untested,has issues,,needs chd file. works but laggy and takes a long time to load.
blkbustr,BlockBuster,1983,Kiwako,untested,ok,,
